"Traced_NHSNUMBER","DateOfBirth","PatientFirstName","PatientOtherName","PatientSurname","PatientAddress_Line1","PatientAddress_Line2","PatientAddress_Line3","PatientAddress_Line4","PatientAddress_Line5","PatientAddress_Postcode","GPPracticeCode","Practice_Name","contact_telephone","mobile","landline","oslaua","ccg","Flag_Chemo_Radiotherapy","Flag_Respiratory","Flag_HaematologicalCancers","Flag_PregnantWithCongentialHeartDefect","Flag_Transplant","Flag_RareDiseases","gender","Flag_PDSInformallyDeceased","oscty","live_in_england","first_name","middle_name","last_name","city","address_l1","address_l2","county","postcode","nhs_number","carry_supplies","reference_id","full_dob","session_id","csrf_token","phone_number_calls","phone_number_texts","contact","know_nhs_number","check_answers_seen","nhs_letter","basic_care_needs","dietary_requirements","medical_conditions","essential_supplies","updated_at","referenceid","unixtimestamp","created_at","ivr_nhs_number","ivr_postcode","ivr_dob","ivr_customer_callling_number","ivr_current_item_id","ivr_transfer","ivr_fallback_time","ivr_nhs_known","ivr_contact_id","ivr_preferred_phone_number","ivr_phone_number_calls","ivr_postal_code_verified","ivr_delivery_supplies","ivr_carry_supplies","ivr_have_help","ivr_call_timestamp","ivr_umet_needs"
"5875903249","20060503","Aedan","Batz","Mann","8 Bell forest","Elliotshire","Barber ford","Great Ashfield","Suffolk","TN12 7EA","Y05547","LEWISHAM AND GREENWICH COMM DERM SERVICE","020 38728758","06811144725","05837886430","Suffolk","99C","0","1","1","1","0","0",NA,"0","Great Ashfield","yes","Aedan","Batz","Mann","Great Ashfield","Flat 41lSmith courts","Edward motorway","Suffolk","M6 4BD","5875903249","yes","20200406-847476-F84397","2006-11-24","83f65ab97c1a4e049d8b3f3f1c1464e9","33c9608831424593a39e4089cdb2bb97","05055 695771","(01725) 251115","cki@zibfsm.fnu","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1987-11-05 15:42:06","20200406-847476-F84397","2002-04-10 19:09:55","1981-04-16 09:28:31","5875903249","CV9 0PQ","2007-01-23","+44(0)3647703411","15","FALSE","2","yes","adc49cd5-497d-4a93-808c-bf8bd9704eb9","0601085903","05055 695771","TRUE","FALSE","FALSE","FALSE","2008-08-12 08:30:25",NA
"8408502721","20060813","Linnea","Kuhlman","Morar","2 Hughes divide","Boothchester","Patricia place","Rhyd","Gwynedd - Gwynedd","BH15 2AR","Y02242","WARK & LEAM - CHT","01926 450660","06550 050808","+44(0)6034 139081","Gwynedd - Gwynedd","06A","0","1","0","0","1","1","2","0","Rhyd","yes","Linnea","Kuhlman","Morar","Rhyd","9 Alex underpass","Lynne mountains","Gwynedd - Gwynedd","EX7 8JG","8408502721","no","20200328-933727-E7BE32","2005-08-13","3e41da5eed4b4f1fbbd1997d9c5107b1","736d841c89d64c10974c3fa3fef50f9d","+44(0)9932 726357","0071961353","h@ctwvi.enr","YES, I KNOW MY NHS NUMBER","FALSE","no","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","1984-10-14 17:03:14","20200328-933727-E7BE32","1987-01-18 10:41:36","1980-04-17 07:22:03","8408502721","DN2 7JZ","2005-10-01","07100 932470","12","FALSE","6","no","202b06dc-f84d-4c5c-9bf3-b4f9ac801314","(04273) 91799","+44(0)9932 726357","TRUE","FALSE","FALSE","FALSE","1989-11-06 08:06:50",NA
"7581900087","20060423","Arizona","Breitenberg-Boehm","Reilly-Runolfsdottir","Studio 1Robinson locks","Iainland","Storey shore","Hampton Green","Gloucestershire","M20 3HL","J82187","WESTON LANE SURGERY","023 80449913","+44(0)7141505172","02252639625","Gloucestershire","10J","1","0","1","0","0","0","2","0","Hampton Green","no","Arizona","Breitenberg-Boehm","Reilly-Runolfsdottir","Hampton Green","3 Barry ridges","Baker roads","Gloucestershire","SM7N 8BE","7581900087","yes","20200331-513147-56AB1F","2005-08-24","a46562586cd2487584a6a375f60f373c","b8712c96ad704d2e9919411189d26bf8","00804234353","+44(0)4374 15751","zb@tbuiw.uri","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1987-06-12 23:24:52","20200331-513147-56AB1F","1981-09-01 06:02:04","1996-05-22 21:38:49","7581900087","M6 7XN","2007-03-26","(09071) 936161","24","FALSE","6","yes","5955f983-c32c-4005-a9bf-6554a5c2edc7","+44(0)6007 892484","00804234353","FALSE","FALSE","FALSE","FALSE","1982-08-03 00:54:49",NA
"4870818553","20060703","Kaliyah","Yurem","Breitenberg","3 Ross plains","Lake Joshside","Wade manors","Brynhyfryd","Castell-nedd Port Talbot - Neath Port Talbot","PO15 7HJ","L84056","THE CORINTHIAN SURGERY","01242 215000","07627 119548","09331 276886","Castell-nedd Port Talbot - Neath Port Talbot","99E","0","1","0","1","1","0","9","0","Brynhyfryd","no","Kaliyah","Yurem","Breitenberg","Brynhyfryd","97 Denis corners","Bethany lane","Castell-nedd Port Talbot - Neath Port Talbot","HU5A 9XF","4870818553","yes","20200410-285353-6AB1D6","2006-02-23","624b46cbe00240fda1c8260f6979c0a2","c8eb7c4d3f914d7b9f179eb63c9d2187","04131970426","+44(0)5813 401017","t@wvodcahyq.ptc","YES, I KNOW MY NHS NUMBER","TRUE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2004-08-11 19:45:03","20200410-285353-6AB1D6","1982-04-03 00:02:36","1972-10-21 11:20:25","4870818553","N5 9EY","2006-12-02","0698953986","30","TRUE","5","no","a65bb348-2637-4e00-aebb-8ad8de3ffdcc","09781 63280","04131970426","FALSE","TRUE","FALSE","FALSE","1975-04-12 09:40:02",NA
"4446004974","20070419","Harman","Hermiston","Heathcote","Studio 22Horton glens","West Martinbury","Carolyn park","West Bretton",NA,"GU12 6LA","Y06188","GUN LANE COMMUNITY DERMATOLOGY CLINIC","01634 727888","(07282) 386702","06152843389",NA,"00T","0","1","1","1","1","1","2","1","West Bretton","yes","Harman","Hermiston","Heathcote","West Bretton","82 West dale","Sharon radial",NA,"L41 5TE","4446004974","no","20200419-238478-73D219","2006-08-08","f9f9179156c1452d89d35a922ad06470","41e2e3060c934eaba73142f8d885d798","+44(0)9806 58766","+44(0)4118158751","oejt@rglzc.weg","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2009-12-12 05:48:02","20200419-238478-73D219","1984-09-20 11:06:06","2004-12-30 17:38:37","4446004974","WV2 0FJ","2006-09-29","0239322868","3","TRUE","3","no","88b9b568-4283-42f8-b006-6650cdbfdcf1","+44(0)112515000","+44(0)9806 58766","TRUE","FALSE","FALSE","FALSE","2002-04-23 13:47:46",NA
"5461229103","20060210","Heaven","Carroll-Simonis","Rosenbaum","89 Smith island","Williamsland","Jill meadow","Burton upon Trent","Staffordshire","PR2 5JG","J84011","NEWPORT HEALTH CENTRE","01983 522150","+44(0)3445151957","+44(0)7731 180935","Staffordshire","05H","1","0","0","1","1","1","9","0","Burton upon Trent","no","Heaven","Carroll-Simonis","Rosenbaum","Burton upon Trent","Flat 4Roy track","Matthews flat","Staffordshire","S13 1LT","5461229103","yes","20200416-710206-0C9E27","2006-11-19","2e1dbf611c244b5eb2aad9686e2c2864","001d90a3ba9848bfbe85a07b0626fef8","(06229) 105316","01197727452","myotgjea@afidqrcybw.apc","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2008-12-14 03:59:26","20200416-710206-0C9E27","1979-07-18 06:13:49","1984-12-23 08:57:14","5461229103","S30 3HH","2007-02-10","(00892) 360609","21","TRUE","5","no","ebd96da5-1f10-49d1-8a46-616acf80e9d8","+44(0)3551 455004","(06229) 105316","FALSE","FALSE","TRUE","TRUE","1980-10-04 16:03:21",NA
"2439491426","20050722","Maye","Jensen","Bayer","Studio 84Tracy estates","Clarkeburgh","Ingram valley","Oldwall","Cumbria","W13 8EH","G82141","YALDING","01622 814380","0490576101","+44(0)2143 78788","Cumbria","01V","0","1","1","0","0","1","0","1","Oldwall","no","Maye","Jensen","Bayer","Oldwall","4 Thompson loop","Ryan plaza","Cumbria","TF6M 6XQ","2439491426","yes","20200402-795598-32099F","2005-12-05","d42bbdcce22e4ac2af32097e9c73e320","9fba9776e75342efbb16aa652a4550a8","02650 12081","0023332580","wrl@tzn.roh","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2005-12-06 15:57:52","20200402-795598-32099F","1975-01-08 21:41:39","2002-08-07 07:07:47","2439491426","EH2A 5EH","2005-05-01","+44(0)788078240","23","TRUE","9","no","4af8a95a-e147-4b60-9d1f-133fa6b7b3e5","+44(0)9135 726078","02650 12081","FALSE","FALSE","TRUE","FALSE","1988-12-01 13:12:05",NA
"8024223268","20070321","Lim","Shanahan","O'Reilly","Studio 86Jones trail","Zoeborough","Swift mill","Lower Slackstead","Hampshire","ME2 1EF","H85108","19 BANDON RISE","020 86473894","+44(0)2823326480","+44(0)7858 693841","Hampshire","02T","1","0","0","0","0","0","9","1","Lower Slackstead","yes","Lim","Shanahan","O'Reilly","Lower Slackstead","867 Fisher forest","Beverley drive","Hampshire","IV93 5WR","8024223268","yes","20200420-837660-0F4C5F","2005-07-16","2bf20a14bea742ad8c5be6f74033b2bd","157c1ffc0c8a416fa5bf96bb38675cae","07466060723","+44(0)043228204","gzcnjm@gzcvhsryj.muw","YES, I KNOW MY NHS NUMBER","TRUE","yes","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2004-08-13 02:03:36","20200420-837660-0F4C5F","1993-11-29 21:46:16","1999-10-19 22:17:01","8024223268","G6F 9DE","2006-01-04","07946783094","36","FALSE","8","no","b83dce55-46ca-45ea-be92-a7c043f72055","0530930909","07466060723","TRUE","TRUE","TRUE","FALSE","1972-05-19 09:05:22",NA
"5315753129","20051124","Yessenia","Sanford","Lehner","Studio 57Dawn ways","Douglashaven","Johnson key","Stinsford","Dorset","OX16 4TF","E84009","ENDERLEY ROAD MEDICAL CENTRE","020 88633333","+44(0)3047743649","04230712341","Dorset","02H","0","1","0","1","0","1","2","0","Stinsford","no","Yessenia","Sanford","Lehner","Stinsford","381 Jessica inlet","Ian brooks","Dorset","CW1B 8TD","5315753129","no","20200403-114507-D2A808","2006-02-26","051300d80a6d4afc8b53da09342ef391","e55c256c74d84603b0e7261a61d14f23","+44(0)2144672816","(09465) 737171","pmjdbv@komnyxlcf.enf","YES, I KNOW MY NHS NUMBER","TRUE","no","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1977-03-21 09:39:21","20200403-114507-D2A808","2006-12-15 23:01:40","1972-05-28 05:43:22","5315753129","B5 4HY","2006-10-02","01816504754","78","FALSE","4","no","a05166f8-c824-4a57-bf04-c07a72ca8a8b","(04462) 032043","+44(0)2144672816","TRUE","FALSE","FALSE","FALSE","1998-02-22 06:18:58",NA
"4961972002","20060505","Lakeisha","Willms","Satterfield-Welch","50 Natasha path","East Louis","Phillip lock","Humberston Fitties","North East Lincolnshire","CH5 4NG","F84086","THE FOREST PRACTICE","020 82507510","+44(0)864000582","+44(0)4179 40326","North East Lincolnshire","18C","0","1","1","0","1","0","9","0","Humberston Fitties","yes","Lakeisha","Willms","Satterfield-Welch","Humberston Fitties","3 Burton mountains","Lorraine plaza","North East Lincolnshire","E6F 4EQ","4961972002","no","20200323-694640-837C06","2005-06-24","2b1e522a3912490a95f851e24fbd4bfd","80f26b4ef04a4bfe88df224885916cdb","+44(0)422755150","(03875) 111875","qrhixv@svx.jfb","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1991-11-27 08:11:45","20200323-694640-837C06","2017-02-11 09:54:43","1987-04-01 23:18:09","4961972002","B3K 8AL","2006-10-27","07317 202406","71","FALSE","1","no","e306d400-58f8-4f10-9236-165eef45c731","01338597974","+44(0)422755150","TRUE","TRUE","FALSE","TRUE","2002-01-06 04:59:50",NA
