"live_in_england","first_name","middle_name","last_name","city","address_l1","address_l2","county","postcode","nhs_number","carry_supplies","reference_id","full_dob","session_id","csrf_token","phone_number_calls","phone_number_texts","contact","know_nhs_number","check_answers_seen","nhs_letter","basic_care_needs","dietary_requirements","medical_conditions","essential_supplies","updated_at","referenceid","unixtimestamp","created_at"
"yes","Newton","Larkin","Gottlieb","Port-Eynon","741 Glover Course Apt. 522","Schulist Loaf","Abertawe - Swansea","W5  2NU","8182041214","yes","20200502-297118-2C2098","2006-12-28","8e7e1a90da2b4aeb89d10ecc9fb9db70","95cd38350c9343b0aadcf7d825db86c1","02419114396","+44(0)4467 27801","wpqa@nhoxrlkse.nib","YES, I KNOW MY NHS NUMBER","TRUE","yes","no","yes","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1992-12-30 21:39:59","20200502-297118-2C2098","1985-04-14 15:41:40","1989-07-04 10:20:56"
"no","Virgie","Jens","KochV","Woodland Head","53434 Heller River","Tyron Spurs","Devon","S8  7AB","8114753042","no","20200512-282126-BD7995","2005-07-18","051d61b1b4ef4235984bbfabd648d3cf","03eaa9b99b674135ae49ba5df5599590","+44(0)2720 86576","(01763) 20766","iamxgtv@weskztqjy.ypb","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","2019-07-08 16:19:14","20200512-282126-BD7995","1996-04-26 14:55:34","2006-05-30 16:56:07"
"no","Lorayne","Emmerich","Keeling","Golden Valley","130 Alease Fort","Quigley Land","Derbyshire","N2  0PP","3904931005","no","20200510-293643-CA920D","2007-05-02","5e17221244784d76bb1fda88631dbadb","a7b1222692b24d9cbf2b2cc1afa9a33e","+44(0)684316550","08279631703","re@vrksuymct.ahp","YES, I KNOW MY NHS NUMBER","TRUE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1985-03-14 04:10:45","20200510-293643-CA920D","1971-02-03 18:48:45","2003-06-24 13:01:40"
"yes","Hermann","Bode","Mann","Warfleet","32244 Hackett Motorway","Bode Extension","Devon","B60 1QP","7879945233","no","20200521-953823-3E4148","2005-12-05","c09442e011ab4ef58f1b9d28c134be75","37af161d5c3a48e2a905a2e2e0dd0c53","01828 33618","+44(0)2314 24351","jbyow@dik.qsh","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","no","2019-10-27 01:24:53","20200521-953823-3E4148","1987-04-30 23:07:35","2006-06-05 23:04:03"
"no","Ericka","Altenwerth","Prohaska","Kinharrachie","4206 Ortiz Dam","Rozanne Bypass","Aberdeenshire","SY4 2JD","4767426121","yes","20200506-108389-E69147","2006-09-22","6a156f2adaca43699bab051cda7ddf79","693e6e11ee44441fa259f96ffe996492","05707188502","+44(0)5725 04603","bfvxmdnz@ie.flc","YES, I KNOW MY NHS NUMBER","TRUE","no","no","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","2005-09-05 05:37:14","20200506-108389-E69147","2007-03-18 19:12:34","2000-06-29 15:35:34"
"yes","Besse","Murl","Champlin","Tiptree Heath","12561 Kassulke Mall Apt. 176","Gulgowski Fork","Essex","NG7 2HE","6574294280","no","20200515-780845-1B7000","2007-05-12","5450a521cdb64a889254a0f3bfcb8ccc","a5d236e8e9554c438929ed33675500b5","(07038) 28458","00066 265384","xpnwrbluy@trmdszehok.wsi","NO, I DO NOT KNOW MY NHS NUMBER","FALSE","yes","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1980-02-19 20:56:18","20200515-780845-1B7000","1977-12-28 11:28:59","2002-01-07 19:26:29"
"yes","Bobbye","O'Keefe","Lehner","Cheapsides","18241 Williamson Motorway","Bergstrom Pike","East Riding of Yorkshire","CH5 4UL","1622891185","yes","20200509-806576-171CDC","2006-03-20","0200693bc97845e48d1195cbd72fdfaf","6a8d2f1a396b4d2482eba6e1e3370dca","+44(0)481293127","0845252716","niubcyk@zlowgn.bqo","YES, I KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","yes","1975-10-22 05:59:03","20200509-806576-171CDC","1998-01-07 15:18:37","1975-11-10 18:53:35"
"yes","Laraine","Anderson","Auer-Cormier","Stronmilchan","171 Sheilah Divide","Sanford Ridge","Argyll and Bute","BT251YA","9933677349","no","20200511-858922-B3D9AC","2006-03-31","e93bd03892074af9a986d8d2169558bd","fd287cfde8234a6ea56243a0ad09e8ab","+44(0)080918290","+44(0)5426218567","pgbsrx@puh.onb","YES, I KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2018-07-01 05:21:12","20200511-858922-B3D9AC","1997-02-21 06:38:47","1976-10-14 08:02:19"
"no","Missy","Ernser","Shields","Cwmbelan","822 Hickle Haven","Feil Forest","Powys - Powys","W1G 0EQ","8657803456","no","20200425-408115-4828E4","2006-09-30","3f3758bb8e974c18a8e8cbf0d6eedcff","70101aa295884dad8fe7e9200ad32f64","05198 511833","+44(0)2499 74536","gjbwoy@plfsv.wpz","YES, I KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2006-12-31 22:34:08","20200425-408115-4828E4","2004-02-11 19:05:19","2005-07-06 06:07:38"
"yes","Jesse","Trey","Mayer","Furzley","677 DuBuque Grove","Lavera Prairie","Hampshire","HD7 7JY","7936500542","yes","20200515-559877-367EB6","2005-10-07","98b3c3fc564b43bdadc1e368d4da3150","73e1029ad54b48a5a4c9e856eef12561","+44(0)6587 93955","(03675) 05409","s@plmska.sco","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1971-12-10 18:24:29","20200515-559877-367EB6","2003-10-24 07:33:49","1988-11-17 20:41:21"
"yes","Yandel","Elzie","RolfsonI","Priors Marston","235 Gayle Loop","Crist Gateway","Warwickshire","SL1 5NL","4286830757","yes","20200520-576258-4EC2BC","2005-10-11","3b248c02f3cf44a9906938911da40611","5ece66789b3c41a3b0e638c1488a327a","0608266401","+44(0)2933 11603","zsyvel@ndpcblhmu.who","NO, I DO NOT KNOW MY NHS NUMBER","TRUE","no","no","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","1970-09-16 18:03:31","20200520-576258-4EC2BC","1972-09-07 02:06:27","1987-04-26 06:45:56"
"yes","Polk","Bernier-Nolan","Rolfson","Tarrant Gunville","7416 Nolan Camp Suite 947","Seldon Square","Dorset","B24 8BN","2102936106","yes","20200507-653322-D4ADA1","2005-08-14","839d18cff25f4254a84cc847862b7d86","e74c1ce4999b4521b7baabc243e50e6f","01812361671","04805902847","fk@bmsodulyp.rah","YES, I KNOW MY NHS NUMBER","FALSE","yes","yes","no","YES, I HAVE A MEDICAL CONDITION THAT MAKES ME EXTREMELY VULNERABLE TO CORONAVIRUS","yes","2000-02-29 02:58:24","20200507-653322-D4ADA1","1976-02-09 06:50:37","1994-11-20 11:07:01"
"no","Karon","Daniel","Greenfelder","Hallowood","1345 Sigurd Parkways","Kozey Wells","Moray","BS1 1RS","5425947090","no","20200421-908833-000475","2005-09-28","25a06aebead4455d8680cd096c2fbd8f","de2462a76b3b46ea99c9c8d2db06e746","+44(0)7886 268353","(04196) 321291","byqrzmoaw@boyuadsvt.rye","YES, I KNOW MY NHS NUMBER","FALSE","yes","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1984-12-14 09:51:15","20200421-908833-000475","2010-08-25 01:38:47","2015-06-03 00:56:01"
"yes","Bryton","Lubowitz","Strosin","Newtown","402 Heathcote Fields Apt. 079","Langworth Loaf","Somerset","RH194BU","4137112824","yes","20200425-704011-C03F71","2006-12-11","1359af4f12854abebe7edbc4faa7855a","45f78afda1da4e728aa40824357e6772","(08857) 193882","00831 509090","adop@yehpqarlnd.pwf","YES, I KNOW MY NHS NUMBER","TRUE","yes","yes","yes","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1997-08-20 21:06:30","20200425-704011-C03F71","2019-09-21 03:04:25","1975-01-12 06:38:50"
"yes","Jensen","Waelchi-Kertzmann","Erdman","Wike","9023 Luigi Bypass Apt. 435","Giovanny Loop",NA,"RG9 9BQ","2170771093","yes","20200510-959838-38F2D8","2006-03-24","d39431f7977f4b9789c03f1e92546083","eee370804c114c7da39595b314f0e9b0","+44(0)336124378","+44(0)2083 77362","egmdxrvnt@ydeus.sxn","YES, I KNOW MY NHS NUMBER","FALSE","no","no","no","YES, I HAVE ONE OF THE MEDICAL CONDITIONS ON THE LIST","no","1987-04-23 07:08:49","20200510-959838-38F2D8","1985-02-07 23:59:03","2002-01-12 09:12:10"
